Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-02-23,96.5,96.5,95.25,95.6,95.92,25409.0,573.0,2437199.0,20557.0,80.9,1.25,-0.9
2018-02-22,98.0,98.0,95.4,96.15,96.14,29319.0,301.0,2818818.0,23896.0,81.5,2.6,-1.85
2018-02-21,98.5,101.0,97.0,98.5,98.87,862706.0,704.0,85296723.0,840810.0,97.46,4.0,0.0
2018-02-20,95.6,97.85,95.6,96.65,96.4,16968.0,369.0,1635646.0,11433.0,67.38,2.25,1.05
2018-02-19,97.2,99.45,97.0,97.85,97.82,8046.0,256.0,787049.0,3627.0,45.08,2.45,0.65
2018-02-16,104.4,109.8,98.1,99.35,101.55,78665.0,1192.0,7988336.0,37665.0,47.88,11.7,-5.05
2018-02-15,112.1,112.1,102.1,104.65,106.5,32064.0,401.0,3414892.0,22370.0,69.77,10.0,-7.45
2018-02-14,110.0,113.35,110.0,112.05,112.47,11243.0,212.0,1264542.0,2648.0,23.55,3.35,2.05
2018-02-12,108.9,111.85,108.45,110.4,109.94,11635.0,174.0,1279179.0,3605.0,30.98,3.4,1.5
2018-02-09,109.4,113.25,108.75,109.6,110.19,21006.0,207.0,2314679.0,16520.0,78.64,4.5,0.2
2018-02-08,113.15,114.05,110.3,111.4,112.39,11212.0,132.0,1260117.0,6725.0,59.98,3.75,-1.75
2018-02-07,110.05,114.5,110.05,113.2,113.5,7756.0,146.0,880292.0,2860.0,36.87,4.45,3.15
2018-02-06,110.0,111.45,106.0,108.6,108.93,13273.0,218.0,1445793.0,7841.0,59.07,5.45,-1.4
2018-02-05,112.1,114.0,111.15,113.85,113.21,7724.0,122.0,874440.0,3744.0,48.47,2.85,1.75
2018-02-02,115.05,116.95,113.5,114.4,114.92,11351.0,214.0,1304453.0,7291.0,64.23,3.45,-0.65
